,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Yersinia pestis KIM pYV,Yersinia pestis KIM pYV,Yersinia pestis KIM10+,Yersinia pestis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Yersinia pseudotuberculosis complex,,,,,,,,,,,
Escherichia coli ATCC 23716,Escherichia coli ATCC 23716,Escherichia coli (strain K12),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli KCCM 11569,Escherichia coli KCCM 11569,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus subtilis KCCM 11495,Bacillus subtilis KCCM 11495,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Micrococcus luteus ATCC 15307,Micrococcus luteus ATCC 15307,,Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa 1,Pseudomonas aeruginosa 1,Pseudomonas aeruginosa SJTD-1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Vibrio anguillarum serotype O1,Vibrio anguillarum serotype O1,,Vibrio anguillarum,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Shigella flexneri CMCC 51571,Shigella flexneri CMCC 51571,Shigella flexneri serotype X (strain 2002017),Shigella flexneri,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Stenotrophomonas maltophilia B32/4,Stenotrophomonas maltophilia B32/4,Stenotrophomonas maltophilia (strain K279a),Stenotrophomonas maltophilia,Stenotrophomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stenotrophomonas maltophilia group,,,,,,,,,,,
Staphylococcus aureus 209P,Staphylococcus aureus 209P,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus subtilis VKM B-886,Bacillus subtilis VKM B-886,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Escherichia coli 987P,Escherichia coli 987P,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Cutibacterium acnes ATCC 11827,Cutibacterium acnes ATCC 11827,,Cutibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Klebsiella pneumoniae KPC 001825971,Klebsiella pneumoniae KPC 001825971,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Klebsiella pneumoniae DSM 681,Klebsiella pneumoniae DSM 681,,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa DSM 1128,Pseudomonas aeruginosa DSM 1128,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Streptococcus pneumoniae DSM 11865,Streptococcus pneumoniae DSM 11865,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhimurium ATCC 700931,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 700931,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Staphylococcus aureus NCTC 8352,Staphylococcus aureus NCTC 8352,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Candida albicans ATCC 2002,Candida albicans ATCC 2002,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Micrococcus luteus NCIMB 13267,Micrococcus luteus NCIMB 13267,Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / CCM 169 / CCUG 5858 / IAM 1056 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230),Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Enteritidis ATCC 13076,Salmonella enterica subsp. enterica serovar Enteritidis ATCC 13076,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella enteritidis,Salmonella enterica I,,,,,,,,
Pseudomonas stutzeri CGMCC 1.1803,Pseudomonas stutzeri CGMCC 1.1803,Stutzerimonas stutzeri (strain ATCC 17588 / DSM 5190 / CCUG 11256 / JCM 5965 / LMG 11199 / NBRC 14165 / NCIMB 11358 / Stanier 221),Stutzerimonas stutzeri,Stutzerimonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stutzerimonas stutzeri group,,,,,,,,,Stutzerimonas stutzeri subgroup,,
Bifidobacterium longum subsp. infantis,Bifidobacterium longum subsp. infantis,Bifidobacterium longum subsp. infantis (strain 157F),Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,Bifidobacterium longum subsp. infantis,,,,,,,,
